,Series_Title,Released_Year
29,Seppuku,1995
53,Ayla: The Daughter of War,1995
76,Tengoku to jigoku,1995
91,Babam ve Oglum,1995
120,Ikiru,1995
121,Ladri di biciclette,1995
125,Metropolis,1995
137,Mandariinid,1995
162,Eskiya,1995
180,Yôjinbô,1995
185,Du rififi chez les hommes,1995
188,Rashômon,1995
205,Kis Uykusu,1995
228,Mary and Max,1995
255,Underground,1995
288,Persona,1995
290,La battaglia di Algeri,1995
291,El ángel exterminador,1995
294,The Man Who Shot Liberty Valance,1995
295,Ivanovo detstvo,1995
298,Les quatre cents coups,1995
300,Kakushi-toride no san-akunin,1995
301,Le notti di Cabiria,1995
302,Kumonosu-jô,1995
307,White Heat,1995
309,The Red Shoes,1995
310,The Shop Around the Corner,1995
314,La Grande Illusion,1995
320,Das Cabinet des Dr. Caligari,1995
344,Tropa de Elite 2: O Inimigo Agora é Outro,1995
352,Nefes: Vatan Sagolsun,1995
365,G.O.R.A.,1995
369,Vozvrashchenie,1995
378,Yeopgijeogin geunyeo,1995
380,Vizontele,1995
389,Knockin' on Heaven's Door,1995
431,8½,1995
432,Vivre sa vie: Film en douze tableaux,1995
436,Anatomy of a Murder,1995
441,The Night of the Hunter,1995
442,La Strada,1995
443,Les diaboliques,1995
444,Stalag 17,1995
445,Roman Holiday,1995
447,In a Lonely Place,1995
450,Out of the Past,1995
454,Arsenic and Old Lace,1995
455,The Maltese Falcon,1995
458,La règle du jeu,1995
461,Bronenosets Potemkin,1995
479,Bir Zamanlar Anadolu'da,1995
491,"4 luni, 3 saptamâni si 2 zile",1995
494,The Man from Earth,1995
499,C.R.A.Z.Y.,1995
539,"Aguirre, der Zorn Gottes",1995
543,Night of the Living Dead,1995
550,Hiroshima mon amour,1995
557,Miracle on 34th Street,1995
561,The Philadelphia Story,1995
566,Freaks,1995
567,Nosferatu,1995
573,Perfetti sconosciuti,1995
588,La grande bellezza,1995
600,Kokuhaku,1995
601,Ang-ma-reul bo-at-da,1995
607,Chugyeokja,1995
612,Druk,1995
618,Auf der anderen Seite,1995
635,Ondskan,1995
640,Gongdong gyeongbi guyeok JSA,1995
652,Hana-bi,1995
661,Naked,1995
699,Wait Until Dark,1995
700,Guess Who's Coming to Dinner,1995
705,Jules et Jim,1995
709,Key Largo,1995
713,The Lady Vanishes,1995
715,Bride of Frankenstein,1995
716,Duck Soup,1995
720,God's Own Country,1995
735,The Broken Circle Breakdown,1995
741,Detachment,1995
746,Beasts of No Nation,1995
761,Death Note: Desu nôto,1995
762,This Is England,1995
800,Happiness,1995
828,Spoorloos,1995
855,The Dirty Dozen,1995
858,Repulsion,1995
863,Peeping Tom,1995
865,Les yeux sans visage,1995
868,The Ladykillers,1995
884,Victoria,1995
898,El cuerpo,1995
908,Celda 211,1995
912,Die Welle,1995
919,The Secret of Kells,1995
925,Dead Man's Shoes,1995
943,Batoru rowaiaru,1995
997,Lifeboat,1995
998,The 39 Steps,1995
