,Series_Title,Released_Year
17,Hamilton,2020
19,Soorarai Pottru,2020
29,Seppuku,1962
31,It's a Wonderful Life,1946
45,Hotaru no haka,1988
53,Ayla: The Daughter of War,2017
54,Vikram Vedha,2017
75,Anand,1971
76,Tengoku to jigoku,1963
79,Paths of Glory,1957
81,Sunset Blvd.,1950
84,Tumbbad,2018
86,Drishyam,2013
90,Miracle in cell NO.7,2019
91,Babam ve Oglum,2005
104,Idi i smotri,1985
129,K.G.F: Chapter 1,2018
134,Klaus,2019
139,Gangs of Wasseypur,2012
159,Hera Pheri,2000
162,Eskiya,1996
165,Andaz Apna Apna,1994
174,Höstsonaten,1978
175,The Message,1976
176,Sholay,1975
179,To Kill a Mockingbird,1962
180,Yôjinbô,1961
181,Judgment at Nuremberg,1961
183,Smultronstället,1957
184,Det sjunde inseglet,1957
187,Tôkyô monogatari,1953
191,To Be or Not to Be,1942
196,Koe no katachi,2016
197,Contratiempo,2016
204,Soul,2020
210,Ôkami kodomo no Ame to Yuki,2012
223,A Wednesday,2008
227,Hachi: A Dog's Tale,2009
228,Mary and Max,2009
237,Munna Bhai M.B.B.S.,2003
245,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997
257,Dilwale Dulhania Le Jayenge,1995
272,Fitzcarraldo,1982
275,The Elephant Man,1980
279,Network,1976
280,Barry Lyndon,1975
285,Solaris,1972
288,Persona,1966
291,El ángel exterminador,1962
293,Sanjuro,1962
294,The Man Who Shot Liberty Valance,1962
295,Ivanovo detstvo,1962
297,Inherit the Wind,1960
298,Les quatre cents coups,1959
300,Kakushi-toride no san-akunin,1958
302,Kumonosu-jô,1957
305,Le salaire de la peur,1953
307,White Heat,1949
317,The Circus,1928
320,Das Cabinet des Dr. Caligari,1920
321,Badhaai ho,2018
322,Togo,2019
323,Airlift,2016
325,Baby,2015
350,Yip Man,2008
352,Nefes: Vatan Sagolsun,2009
365,G.O.R.A.,2004
378,Yeopgijeogin geunyeo,2001
380,Vizontele,2001
408,Tenkû no shiro Rapyuta,1986
411,Kagemusha,1980
424,Rosemary's Baby,1968
427,Who's Afraid of Virginia Woolf?,1966
432,Vivre sa vie: Film en douze tableaux,1962
439,Sweet Smell of Success,1957
440,The Killing,1956
442,La Strada,1954
443,Les diaboliques,1955
444,Stalag 17,1953
445,Roman Holiday,1953
447,In a Lonely Place,1950
448,Kind Hearts and Coronets,1949
449,Rope,1948
450,Out of the Past,1947
451,Brief Encounter,1945
454,Arsenic and Old Lace,1942
458,La règle du jeu,1939
459,The Thin Man,1934
463,Dil Bechara,2020
494,The Man from Earth,2007
499,C.R.A.Z.Y.,2005
503,Gegen die Wand,2004
517,Mimi wo sumaseba,1995
521,Jûbê ninpûchô,1993
537,Amarcord,1973
539,"Aguirre, der Zorn Gottes",1972
540,Harold and Maude,1971
547,The Manchurian Candidate,1962
549,L'avventura,1960
552,The Searchers,1956
553,East of Eden,1955
556,Harvey,1950
561,The Philadelphia Story,1940
566,Freaks,1932
567,Nosferatu,1922
568,The Gentlemen,2019
569,Raazi,2018
570,Sound of Metal,2019
573,Perfetti sconosciuti,2016
576,Udta Punjab,2016
586,Pride,2014
600,Kokuhaku,2010
607,Chugyeokja,2008
611,The Trial of the Chicago 7,2020
612,Druk,2020
640,Gongdong gyeongbi guyeok JSA,2000
665,Lat sau san taam,1992
671,Majo no takkyûbin,1989
673,Dip huet seung hung,1989
689,Days of Heaven,1978
691,The Man Who Would Be King,1975
695,Badlands,1973
701,Bonnie and Clyde,1967
705,Jules et Jim,1962
708,Red River,1948
709,Key Largo,1948
710,To Have and Have Not,1944
711,Shadow of a Doubt,1943
712,Stagecoach,1939
713,The Lady Vanishes,1938
714,Bringing Up Baby,1938
716,Duck Soup,1933
717,Scarface: The Shame of the Nation,1932
718,Frankenstein,1931
719,Roma,2018
760,Toki o kakeru shôjo,2006
761,Death Note: Desu nôto,2006
797,Interstate 60: Episodes of the Road,2002
813,Do lok tin si,1995
821,Kurenai no buta,1992
828,Spoorloos,1988
842,Rupan sansei: Kariosutoro no shiro,1979
845,Love and Death,1975
846,The Taking of Pelham One Two Three,1974
853,Where Eagles Dare,1968
858,Repulsion,1965
859,Zulu,1964
862,Cape Fear,1962
866,Invasion of the Body Snatchers,1956
867,Rebel Without a Cause,1955
868,The Ladykillers,1955
869,Sabrina,1954
871,The Day the Earth Stood Still,1951
873,Gilda,1946
875,The Invisible Man,1933
876,Dark Waters,2019
881,Just Mercy,2019
884,Victoria,2015
898,El cuerpo,2012
908,Celda 211,2009
912,Die Welle,2008
943,Batoru rowaiaru,2000
957,Funny Games,1997
985,Watership Down,1978
992,Blowup,1966
994,Breakfast at Tiffany's,1961
995,Giant,1956
997,Lifeboat,1944
998,The 39 Steps,1935
